card_type,character,event,card_name,card_image,weapon_type,weapon_image,rarity,stat1_hp,stat1_sp,stat1_atk,stat1_def,stat50_hp,stat50_sp,stat50_atk,stat50_def,stat70_hp,stat70_sp,stat70_atk,stat70_def,skill_name,skill_sp,skill_combo,skill_hit,skill_damage,skill_range,skill_effect,skill_comment,skill_preview,charge_name,charge_hit,charge_damage,charge_range,charge_comment,nakayoshi_name,nakayoshi_target_noevol,nakayoshi_effect_noevol,nakayoshi_target_evol,nakayoshi_effect_evol
0,1,夕暮れの帰り道,【夕暮れの帰り道】みき,hoshimori/static/uploaded/c/art/10017.png,1,https://cdn.wiki.dengekionline.com/theme/dengekionline/battlegirl/images/icon/spear.png,2,1544,231,776,537,2779,483,1621,1122,3294,588,1973,1365,破魔龍閃槍,86,10,2,約3.5倍+約3.5倍,前方・範囲中,,"前方の敵を連続大攻撃
破魔の力を秘めたオーラを槍にまとい、敵を突き崩す",,,,,,,笑顔を忘れずに！,みんな,攻撃力が3％UP！,みんな,攻撃力が4％UP！
0,1,新制服,【新制服】みき,hoshimori/static/uploaded/c/art/201700620miki.jpg,0,https://cdn.wiki.dengekionline.com/theme/dengekionline/battlegirl/images/icon/sword.png,1,941,365,632,428,1395,613,1065,721,1883,882,1532,1037,カトルスラッシュ,84,10,4,約1.3倍+約1.3倍+約1.3倍+約1.3倍,前方・範囲小,,"前方の敵を連続攻撃
合計4回の斬撃は、強大な敵をも打ち倒す",,,,,,,笑顔が一番！,みんな,攻撃力が1％UP！,,
0,1,私服2,【私服2】みき,hoshimori/static/uploaded/c/art/0722miki.jpg,4,https://cdn.wiki.dengekionline.com/theme/dengekionline/battlegirl/images/icon/rod.png,1,726,400,687,370,1076,671,1157,623,1452,966,1663,895,フィッシュボール,110,8,1,約5倍,全方位・範囲小,,"前方の敵を範囲攻撃
強力な金魚鉢を呼び出し、敵を滅する",hoshimori/static/uploaded/c/skill/miki_shifuku2.gif,,,,,,金魚鉢,みんな,攻撃力が1％UP！,,
0,1,ラクロス部,【ラクロス部】みき,hoshimori/static/uploaded/c/art/10016.png,0,https://cdn.wiki.dengekionline.com/theme/dengekionline/battlegirl/images/icon/sword.png,2,1125,303,722,654,2025,633,1510,1366,2400,770,1838,1663,烈破円舞斬,115,11,1,約7倍,全方位・範囲小,,"周囲の敵を大攻撃
まるで剣が舞い踊るかのように敵を斬り裂く",,,,,,,いいとこ見せます！,みんな,SPが6％UP！,みんな,SPが8％UP！
0,1,私服,【私服】みき,hoshimori/static/uploaded/c/art/10014.png,3,https://cdn.wiki.dengekionline.com/theme/dengekionline/battlegirl/images/icon/gun.png,1,1063,294,579,487,1574,494,974,820,2126,710,1402,1179,アーマーダウン,147,10,,,全方位・範囲中,約15秒間、与ダメージ約1.2倍,"周囲の敵の被ダメージをアップ
敵の集中力を乱すことで、敵へのダメージを増加する",,,,,,,スターライトムーン,1年生,HPが3％UP！,,
0,1,夏制服,【夏制服】みき,hoshimori/static/uploaded/c/art/10012.png,4,https://cdn.wiki.dengekionline.com/theme/dengekionline/battlegirl/images/icon/rod.png,1,731,403,684,365,1083,676,1152,615,1462,973,1656,883,ヒーリング,136,7,,,パーティ全員,パーティ全員のHP15％回復,"味方全員のHPを小回復
軽いケガなら、たちどころに治すことができる",,,,,,,笑顔の輝き☆,1年生,SPが5％UP！,,
0,1,冬制服,【冬制服】みき,hoshimori/static/uploaded/c/art/10011.png,0,https://cdn.wiki.dengekionline.com/theme/dengekionline/battlegirl/images/icon/sword.png,0,900,220,525,475,1200,329,788,712,,,,,円舞斬,75,8,1,4倍,全方位・範囲小,,"周囲の敵を攻撃
舞い踊るかのように敵を斬り裂く",,,,,,,笑顔が一番！,みんな,攻撃力が1％UP！,,
0,1,体操服,【体操服】みき,hoshimori/static/uploaded/c/art/10013.png,2,https://cdn.wiki.dengekionline.com/theme/dengekionline/battlegirl/images/icon/hummer.png,1,1294,190,624,594,1917,320,1050,1000,2588,460,1510,1438,ブレイク・バーン,67,9,1,約5倍,前方・範囲小,,"前方に範囲攻撃
渾身の力で槌を叩き付け、衝撃波を起こす",,,,,,,シューティングスター,1年生,攻撃力が2％UP！,,
0,1,未来のパティシエ,【未来のパティシエ】みき,hoshimori/static/uploaded/c/art/10019.png,1,https://cdn.wiki.dengekionline.com/theme/dengekionline/battlegirl/images/icon/spear.png,3,1911,243,858,656,3640,532,1877,1435,4095,608,2145,1640,みきのラブケーキ,148,14,2,約9.3倍+約9.3倍,全方位・範囲中,武器相性無視,"周囲の敵を大攻撃
武器相性無視
愛情を込めて作ったケーキは、なぜか強力な爆弾となる",hoshimori/static/uploaded/c/skill/miki_pati.gif,,,,,,特製ワッフル,みんな,SPが9％UP！,みんな,SPが13％UP！
0,1,水着’15,【水着’15】みき,hoshimori/static/uploaded/c/art/0630miki.jpg,2,https://cdn.wiki.dengekionline.com/theme/dengekionline/battlegirl/images/icon/hummer.png,3,1691,307,958,720,3220,672,2095,1575,3623,768,2394,1800,ビッグウェーブ,164,13,1,約10倍,前方・範囲中,武器相性無視／10秒間ダメージ無効,"前方攻撃＋ダメージ無効（短）
武器相性無視
彼女の純粋な想いが水に宿り、脅威を退く力となる",hoshimori/static/uploaded/c/skill/miki_mizugi.gif,,,,,,今しかない夏,1年生,攻撃力が4％UP、SPが7％UP！,1年生,攻撃力が5％UP、SPが9％UP！
0,1,チャイナドレス,【チャイナドレス】みき,hoshimori/static/uploaded/c/art/0731miki.jpg,0,https://cdn.wiki.dengekionline.com/theme/dengekionline/battlegirl/images/icon/sword.png,3,1305,401,868,1012,2485,876,1900,2214,2795,1002,2171,2530,轟天破,164,13,2,約6.5倍+約6.5倍,前方・直線,武器相性無視／10秒間吹き飛び無効,"直線2段+吹き飛び無効（短）
武器相性無視
平和への願いを込めた光球を敵に打ち込む",hoshimori/static/uploaded/c/skill/miki_china.gif,,,,,,コック失格,みんな,10コンボ以降、コンボダメージup,みんな,5コンボ以降、コンボダメージup（大）
0,1,星守メイド,【星守メイド】みき,hoshimori/static/uploaded/c/art/1113miki.jpg,1,https://cdn.wiki.dengekionline.com/theme/dengekionline/battlegirl/images/icon/spear.png,3,1946,405,955,637,3714,875,2089,1393,4179,999,2386,1592,フォーリンデザート,175,13,1,約25倍,ターゲットを中心に、全方位・範囲中,武器相性無視／敵に毒の効果,"敵を中心に攻撃＋毒
武器相性無視
想いのつまったケーキはいつもより大きく見える",hoshimori/static/uploaded/c/skill/miki_hoshimorimaid.gif,,,,,,召し上がれっ！,1年生,攻撃力4％UP、コンボダメUP（小）,1年生,攻撃力5％UP、コンボダメUP
0,1,星衣ヴァルキリー,【星衣ヴァルキリー】みき,hoshimori/static/uploaded/c/art/0915miki.jpg,3,https://cdn.wiki.dengekionline.com/theme/dengekionline/battlegirl/images/icon/gun.png,3,1246,484,909,919,2373,1054,1990,2009,2670,1204,2274,2295,ウル・アームズ,242,13,1,約17倍,前方・直線,武器相性無視／全員のHP20％回復,"前方攻撃＋全体HP回復
武器相性無視
神の弓に魂を込めて、輝きの矢を撃ち放つ",hoshimori/static/uploaded/c/skill/miki_valkyrie.gif,,,,,,魂の導き,ガンとロッド,15コンボ以降、攻撃力6％UP！,ガンとロッド,15コンボ以降、攻撃力8％UP！
0,1,ハロウィン’15,【ハロウィン’15】みき,hoshimori/static/uploaded/c/art/1015miki.jpg,4,https://cdn.wiki.dengekionline.com/theme/dengekionline/battlegirl/images/icon/rod.png,3,1559,604,961,614,2800,1320,2102,1344,3141,1509,2402,1536,コメットウィッチ,200,13,1,約16倍,全方位・範囲大,,"周囲の敵を攻撃
ホウキに乗った魔女が、魔力を込めたお菓子を振りまく",hoshimori/static/uploaded/c/skill/miki_Halloween.gif,,,,,,魔女っ子みきちゃん,みんな,15コンボ以降、攻撃力4％UP、コンボダメup（小）,みんな,15コンボ以降、攻撃力5％UP、コンボダメup
0,1,星衣フェニックス,【星衣フェニックス】みき,hoshimori/static/uploaded/c/art/10018.png,0,https://cdn.wiki.dengekionline.com/theme/dengekionline/battlegirl/images/icon/sword.png,3,1650,371,880,952,3143,812,1925,2083,3536,928,2200,2380,炎舞鳳凰翔,172,10,1,約19倍,前方・範囲中,武器相性無視,"前方に範囲大攻撃
武器相性無視
炎の力を全身に宿し、空中から一気に蹴りを打ち込む",hoshimori/static/uploaded/c/skill/miki_seii.gif,,,,,,炎舞賦活陣,みんな,HPが8％UP！、攻撃力が3％UP！,みんな,HPが10％UP！、攻撃力が4％UP！
