name,japanese_name,unlock,description,i_school_year,birthday,i_star_sign,i_blood_type,extra_activity,catchphrase_1,catchphrase_2,height,weight,bust,waist,hip,hobby_1,hobby_2,hobby_3,food_likes,food_dislikes,family,dream,ideal_1,ideal_2,ideal_3,pastime,destress,fav_memory,fav_phrase,secret,CV,romaji_CV,image,full_image,signature,phrase_1,phrase_2,introduction_1,Introduction_2,owner_id
Hoshitsuki Miki,星月 みき,1-1,"Cheerful and shiny, she’s an innocent and hard-working baker.",3,2017-03-15,2,0,Lacrosse club,"“C'mon, let’s put on a smile~!”","“Hey, hey, does it taste good~?”",156,45,83,54,82,Eating while walking,Baking,Cat’s cradle,Tiramisu,Bitter foods,"Dad, mom, little sister, dog",Pastry chef,Mother,Pro lacrosse player,President of a sweets company,Tries eating at a new cake shop,Pets her fluffy dog,When her little sister was born,"Good fortune will come to the homes of those who smile, laugh and grow fat.","In her second year of middle school, she ate so many of her mother’s delicious homemade sweets that she became overweight.Through dedicated exercise, she was able to return to her original body shape. She keeps the pictures of herself from that time locked and sealed away.",洲崎 綾,Suzaki Aya,hoshimori/static/uploaded/s/01.png,hoshimori/static/uploaded/s/full/01.png,hoshimori/static/uploaded/s/sign/01.png,hoshimori/static/uploaded/s/voices/01_01.mp3,hoshimori/static/uploaded/s/voices/02_01.mp3,hoshimori/static/uploaded/s/voices/03_01.mp3,hoshimori/static/uploaded/s/voices/04_01.mp3,1
Wakaba Subaru,若葉 昴,1-1,A versatile and sporty tomboy.,3,2017-05-04,4,1,Futsal club,“Let’s go all out!”,“Please leave it to me!”,157,45,78,57,78,Looking at cute clothes,Watching soccer games,Going to the gym,Macaroon,Pickles,"Dad, mom, little brother",Teacher,Kusunoki Asuha,Shop attendant at a cute clothing store,A girl who looks good in cute clothes,Plays with her little brother,Does tomoe nage on little brother,Being saved by Asuha,"“As long as you keep your chin up, there’s nothing you can’t do!”","When no one is home, she likes to put on cute and frilly clothes and perform a solo fashion show. Although she didn’t notice, her little brother walked in on her one time. He chooses not to address the topic.",佐倉 綾音,Sakura Ayane,hoshimori/static/uploaded/s/02.png,hoshimori/static/uploaded/s/full/02.png,hoshimori/static/uploaded/s/sign/02.png,hoshimori/static/uploaded/s/voices/01_02.mp3,hoshimori/static/uploaded/s/voices/02_02.mp3,hoshimori/static/uploaded/s/voices/03_02.mp3,hoshimori/static/uploaded/s/voices/04_02.mp3,1
Narumi Haruka,成海 遥香,1-1,"As an aspiring doctor, she holds a kind yet firm heart.",3,2017-09-23,8,1,Brass band,“Are you feeling alright?”,"“Don’t worry, this won’t hurt a bit!”",155,43,85,57,85,Listening to music,Chess,Puzzle Solving,Strawberry Tart,Nothing in particular,"Dad, mom, little sister, grandma, dog",Doctor,Dad,Mother Teresa,Hoshitsuki Miki,Volunteers at the hospital,Takes a bath with her favorite bath salts,Being a maiko for the first time,“All-you-can-eat”,"She adores shounen manga, and reads it secretly. Her favorites are the ones that are especially violent and action-packed. However, since the content is quite extreme, she feels like she shouldn’t be allowed to read it.",雨宮 天,Amamiya Sora,hoshimori/static/uploaded/s/03.png,hoshimori/static/uploaded/s/full/03.png,hoshimori/static/uploaded/s/sign/03.png,hoshimori/static/uploaded/s/voices/01_03.mp3,hoshimori/static/uploaded/s/voices/02_03.mp3,hoshimori/static/uploaded/s/voices/03_03.mp3,hoshimori/static/uploaded/s/voices/04_03.mp3,1
Amano Nozomi,天野 望,4-4,A trendsetter who hates anything perverted.,4,2017-07-07,6,0,Tennis club,“That looks suuuper chic!”,“Style comes from the heart!”,160,44,86,54,84,Reading fashion magazines,Checking the latest fashions,Watching quiz shows,Beef stew,Mayonnaise,"Dad, mom, little brother, little sister",To start her own fashion brand,Mom,Famous designers,Supermodel,Goes shopping,Goes out in her favorite outfit,Going to see her mom’s brand displayed at a fashion show,“Style comes from the heart!”,"She’s always going on about how she’s an expert love guru, but she’s never even experienced real love for herself. She still hasn’t had the feeling of truly falling in love. That’s what she considers her only weakness.",東山 奈央,Touyama Nao,hoshimori/static/uploaded/s/04.png,hoshimori/static/uploaded/s/full/04.png,hoshimori/static/uploaded/s/sign/04.png,hoshimori/static/uploaded/s/voices/01_04.mp3,hoshimori/static/uploaded/s/voices/02_04.mp3,hoshimori/static/uploaded/s/voices/03_04.mp3,hoshimori/static/uploaded/s/voices/04_04.mp3,1
Himukai Yuri,火向井 ゆり,4-4,Dignified (or tries to be) member of the discipline committee.,4,2017-08-14,7,1,Kendo Club,“Don’t call me little!”,,148,38,72,55,79,Ironing,Going to festivals,Dog walking,Ochazuke,Octopus,"Dad, mom, older sister, little sister",To visit lots of shrines and temples,Miyamoto Musashi,Dad,Ally of Justice,Visits shrines and temples,Irons clothes,Winning against dad in a Kendo match,"“Suppress yourself enough, and even a fire can become cool.”","She drinks a lot of milk in hopes of getting taller, despite being lactose intolerant. Her reason for this, in her own words: “I want to become a real hero!”",上坂 すみれ,Uesaka Sumire,hoshimori/static/uploaded/s/05.png,hoshimori/static/uploaded/s/full/05.png,hoshimori/static/uploaded/s/sign/05.png,hoshimori/static/uploaded/s/voices/01_05.mp3,hoshimori/static/uploaded/s/voices/02_05.mp3,hoshimori/static/uploaded/s/voices/03_05.mp3,hoshimori/static/uploaded/s/voices/04_05.mp3,1
Tokiwa Kurumi,常磐 くるみ,4-4,"Fazed by nothing, she is a strange piece of nature who goes at her own pace.",4,2017-09-30,9,3,Chemistry club,“What is that..?”,"“Sniff sniff, smells good…”",158,46,91,62,89,Reading,Gardening,Botany,Vegetables,Meat,"Dad, dog",Botanist,Mom,Botanist,Shinju-sama,Works on her backyard garden,Tends to her flowers,Traveling with her mom,“A frenzy of blooming flowers” (A metaphor for an emergence of many talents all at once),"Until two years ago, she thought that all electricity was generated by a giant electric eel. That was what her father had told her as a child. Even to this day, she imagines a bunch of eels wiggling around at the power plant.",早見 沙織,Hayami Saori,hoshimori/static/uploaded/s/06.png,hoshimori/static/uploaded/s/full/06.png,hoshimori/static/uploaded/s/sign/06.png,hoshimori/static/uploaded/s/voices/01_06.mp3,hoshimori/static/uploaded/s/voices/02_06.mp3,hoshimori/static/uploaded/s/voices/03_06.mp3,hoshimori/static/uploaded/s/voices/04_06.mp3,1
Tsubuzaki Anko,粒咲 あんこ,6-4,An internet otaku with no people skills.,5,2017-11-01,10,2,Computer Club,“W-What is it?”,“What an idiot..”,152,45,90,63,91,Blogging,Programming,Airsoft,Spicy things,Red bean,"Dad, mom, older brother, grandparents","Top-name blogger, as well as a home-based programmer",A millionaire,Pro blogger,Hermit,Surfs the net,Eats spicy food,When her blog reached 1 million followers,"“Eat, sleep, game”","She’s actually the famous blogger AZUKI,  but she continues to deny it. Her internet persona exudes an aura of eloquence and liveliness, but in real life, Anko is the complete opposite of that.",内山 夕実,Uchiyama Yumi,hoshimori/static/uploaded/s/07.png,hoshimori/static/uploaded/s/full/07.png,hoshimori/static/uploaded/s/sign/07.png,hoshimori/static/uploaded/s/voices/01_07.mp3,hoshimori/static/uploaded/s/voices/02_07.mp3,hoshimori/static/uploaded/s/voices/03_07.mp3,hoshimori/static/uploaded/s/voices/04_07.mp3,1
Serizawa Renge,芹沢 蓮華,7-1,"A sexy, sensual onee-sama who loves girls more than anything.",5,2017-06-26,6,2,Gymnastics club,"“Don’t worry about it, don’t worry about it!”",“Yaaan~ Cuuuuuute!”,166,52,93,60,90,“Proportion” managing,Girl watching,Karaoke,Strawberries,Garlic,"Dad, mom, older brother","Until very recently, it was to be a ballerina",Kusunoki Asuha,A cute girl,A ballerina,Does calisthenics,Gives love to a cute girl,"During a gymnastics tournament, she was surrounded by a bunch of cute girls",“Cuteness is justice”,"“I just don’t care for ballet anymore,” she claims to everyone. However, the truth is that she still regrets leaving it behind. The real reason why she quit ballet was due to her own frustration, and so she always feels like she “ran away” from it.",南條 愛乃,Nanjou Yoshino,hoshimori/static/uploaded/s/08.png,hoshimori/static/uploaded/s/full/08.png,hoshimori/static/uploaded/s/sign/08.png,hoshimori/static/uploaded/s/voices/01_08.mp3,hoshimori/static/uploaded/s/voices/02_08.mp3,hoshimori/static/uploaded/s/voices/03_08.mp3,hoshimori/static/uploaded/s/voices/04_08.mp3,1
Kusunoki Asuha,楠 明日葉,7-4,"The beautiful, perfectly composed, and traditional student council president.",5,2017-01-18,0,1,Going home club (Student council),"“Not diligent enough, I see.”","“Be honest to yourself, and sincere to others.”",163,51,85,55,86,Meditation,Tea ceremonies,Calligraphy,Soba,Western food,"Father, mother, older brother, grandparents",Tea ceremony/calligraphy instructor,Kamine Botan,Her mother,Yakumo Itsuki,Prepares tea in the tearoom,Meditation,When the irous took over the earth,"“Stand like a garden peony, sit like a tree peony, and walk like a lily.”","She absolutely hates going to the dentist. Just imagining the sounds that are made during the procedure is enough to send her into panic. Because of that, she takes extreme care of her teeth. However, recently her wisdom teeth have been growing in, so she’s been quite nervous about it.",田村 睦心,Tamura Mutsumi,hoshimori/static/uploaded/s/09.png,hoshimori/static/uploaded/s/full/09.png,hoshimori/static/uploaded/s/sign/09.png,hoshimori/static/uploaded/s/voices/01_09.mp3,hoshimori/static/uploaded/s/voices/02_09.mp3,hoshimori/static/uploaded/s/voices/03_09.mp3,hoshimori/static/uploaded/s/voices/04_09.mp3,1
Fujimiya Sakura,藤宮 桜,8-7,A girl with an elderly speech and conduct. She’s only reserved because she can’t be bothered to socialize.,0,2017-03-27,3,3,Shougi club,“How troublesome…”,“S'that so…?”,149,38,77,56,80,Going to the variety theater,Basking in the sun,Watching Taiga drama,Soft foods,Hard foods,"Dad, mom, little sister, grandpa","To be able to live comfortably without having to work (If that’s not possible, she wants to become a professional shogi player)",Shogi player,A cat that lives on the engawa,A sloth,Drinks tea on the engawa,Goes to the hot springs,Going to the hot springs in Fugyo with her family,"“S'good, isn’t it?”","There’s a certain kimono-clad princess from one of her historical dramas that she really looks up to. She rides around on a dragon, and prefers to eat dango in a tea house. Sakura understands that there’s no way that she could ever really become like her, so she prefers to keep it a secret.",久野 美咲,Kuno Misaki,hoshimori/static/uploaded/s/10.png,hoshimori/static/uploaded/s/full/10.png,hoshimori/static/uploaded/s/sign/10.png,hoshimori/static/uploaded/s/voices/01_10.mp3,hoshimori/static/uploaded/s/voices/02_10.mp3,hoshimori/static/uploaded/s/voices/03_10.mp3,hoshimori/static/uploaded/s/voices/04_10.mp3,1
