"episode","stage_number","difficulty","i_difficulty","level","exp","coins","cheerpoint","drops","objectives"
"1","2","Easy","0","1","9","7","18","碧の涙
ソード・ピース","► Clear stage with no one defeated
► Clear stage within 120 seconds
► Clear stage within 90 seconds"
"1","2","Normal","1","1","15","13","26","碧の涙
ソード・ピース","► Clear stage with no one defeated
► Clear stage within 120 seconds
► Clear stage within 60 seconds"
"1","2","Hard","2","51","15","39","65","碧の涙
ソード・ピース","► Clear stage with no one defeated
► Clear stage without getting any ailments
► Clear stage within 120 seconds"
"1","3","Easy","0","1","6","21","9","黄の花
ハンマー・ピース","► Clear stage with no one defeated
► Clear stage within 120 seconds
► Clear stage within 90 seconds"
"1","3","Normal","1","1","9","36","18","黄の花
ハンマー・ピース","► Clear stage with no one defeated
► Clear stage within 120 seconds
► Clear stage within 60 seconds"
"1","3","Hard","2","53","18","72","36","黄の花
ハンマー・ピース","► Clear stage with no one defeated
► Clear stage without getting any ailments
► Clear stage within 120 seconds"
"1","5","Easy","0","1","9","22","24","スピア・ピース
ハンマー・ピース
黄の花","► Clear stage with no one defeated
► Clear stage within 120 seconds
► Clear stage within 90 seconds"
"1","5","Normal","1","1","15","30","30","スピア・ピース
ハンマー・ピース
黄の花","► Clear stage with no one defeated
► Clear stage within 120 seconds
► Clear stage within 60 seconds"
"1","5","Hard","2","55","15","60","75","スピア・ピース
ハンマー・ピース
黄の花","► Clear stage with no one defeated
► Clear stage without getting any ailments
► Clear stage within 120 seconds"
"1","6","Easy","0","1","9","26","32","ロッド・ピース
ソード・ピース","► Clear stage with no one defeated
► Clear stage within 120 seconds
► Clear stage within 90 seconds"
"1","6","Normal","1","2","18","32","48","ロッド・ピース
ソード・ピース","► Clear stage with no one defeated
► Clear stage within 120 seconds
► Clear stage within 60 seconds"
"1","6","Hard","2","58","33","80","80","ロッド・ピース
ソード・ピース","► Clear stage with no one defeated
► Clear stage without getting any ailments
► Clear stage within 120 seconds"
"2","2","Easy","0","1","12","51","24","黄の花
カーマイン・コア
スピア・ピース","► Clear stage with no one defeated
► Clear stage within 120 seconds
► Clear stage within 90 seconds"
"2","2","Normal","1","4","18","68","34","黄の花
カーマイン・コア
スピア・ピース","► Clear stage with no one defeated
► Clear stage within 120 seconds
► Clear stage within 60 seconds"
"2","2","Hard","2","60","36","119","68","黄の花
カーマイン・コア
スピア・ピース","► Clear stage with no one defeated
► Clear stage without getting any ailments
► Clear stage within 120 seconds"
"2","3","Easy","0","2","15","39","39","碧の涙
ガン・ピース
ロッド・ピース","► Clear stage with no one defeated
► Clear stage within 120 seconds
► Clear stage within 90 seconds"
"2","3","Normal","1","6","36","51","68","碧の涙
ガン・ピース
ロッド・ピース","► Clear stage with no one defeated
► Clear stage within 120 seconds
► Clear stage within 60 seconds"
"2","3","Hard","2","62","36","102","136","碧の涙
ガン・ピース
ロッド・ピース","► Clear stage with no one defeated
► Clear stage without getting any ailments
► Clear stage within 120 seconds"
"2","5","Easy","0","2","9","52","46","","► Clear stage with no one defeated
► Clear stage with full HP
► Clear stage within 60 seconds"
"2","5","Normal","1","8","12","74","66","","► Clear stage with no one defeated
► Clear stage with full HP
► Clear stage within 30 seconds"
"2","5","Hard","2","64","21","148","132","","► Clear stage with no one defeated
► Clear stage with a team of at most 2 members
► Clear stage within 120 seconds"
"2","6","Easy","0","2","18","36","60","ソード・ピース
スピア・ピース
ロッド・ピース","► Clear stage with no one defeated
► Clear stage within 120 seconds
► Clear stage within 90 seconds"
"2","6","Normal","1","10","39","57","95","ソード・ピース
スピア・ピース
ロッド・ピース","► Clear stage with no one defeated
► Clear stage within 120 seconds
► Clear stage within 60 seconds"
"2","6","Hard","2","67","48","114","209","ソード・ピース
スピア・ピース
ロッド・ピース","► Clear stage with no one defeated
► Clear stage with a team of at most 2 members
► Clear stage within 120 seconds"
"3","2","Easy","0","2","21","95","38","カーマイン・コア
ガン・ピース","► Clear stage with no one defeated
► Clear stage with at least 20 combo
► Clear stage within 120 seconds"
"3","2","Normal","1","12","39","114","57","カーマイン・コア
ガン・ピース","► Clear stage with no one defeated
► Clear stage with at least 50 combo
► Clear stage within 120 seconds"
"3","2","Hard","2","69","48","228","133","カーマイン・コア
ガン・ピース","► Clear stage with no one defeated
► Clear stage with at least 50 combo
► Clear stage within 120 seconds"
"3","3","Easy","0","2","24","45","92","ハンマー・ピース
ソード・ピース","► Clear stage with no one defeated
► Clear stage with at least 20 combo
► Clear stage within 120 seconds"
"3","3","Normal","1","14","48","69","138","ハンマー・ピース
ソード・ピース","► Clear stage with no one defeated
► Clear stage with at least 50 combo
► Clear stage within 120 seconds"
"3","3","Hard","2","71","69","161","253","ハンマー・ピース
ソード・ピース","► Clear stage with no one defeated
► Clear stage with at least 50 combo
► Clear stage within 120 seconds"
"3","5","Easy","0","2","12","55","95","黄の花
ロッド・ピース","► Clear stage with no one defeated
► Clear stage with full HP
► Clear stage within 90 seconds"
"3","5","Normal","1","16","15","75","135","黄の花
ロッド・ピース","► Clear stage with no one defeated
► Clear stage with full HP
► Clear stage within 60 seconds"
"3","5","Hard","2","73","30","150","275","黄の花
ロッド・ピース","► Clear stage with no one defeated
► Clear stage with full HP
► Clear stage within 120 seconds"
"3","6","Easy","0","2","24","65","91","黄の花
カーマイン・コア
スピア・ピース","► Clear stage with no one defeated
► Clear stage within 120 seconds
► Clear stage within 90 seconds"
"3","6","Normal","1","18","39","78","130","黄の花
カーマイン・コア
スピア・ピース","► Clear stage with no one defeated
► Clear stage within 120 seconds
► Clear stage within 60 seconds"
"3","6","Hard","2","76","66","169","260","黄の花
カーマイン・コア
スピア・ピース","► Clear stage with no one defeated
► Clear stage with at least 50 combo
► Clear stage within 120 seconds"
"4","2","Easy","0","3","24","115","46","黄の花
碧の涙
ブロンズ・メタル","► Clear stage with no one defeated
► Clear stage with a team of at most 2 members
► Clear stage within 120 seconds"
"4","2","Normal","1","19","48","161","69","黄の花
碧の涙
ブロンズ・メタル","► Clear stage with no one defeated
► Clear stage with a team of at most 2 members
► Clear stage within 120 seconds"
"4","2","Hard","2","78","69","322","115","黄の花
碧の涙
ブロンズ・メタル","► Clear stage with no one defeated
► Clear stage with at least 50 combo
► Clear stage within 120 seconds"
"4","3","Easy","0","3","24","115","46","ハンマー・ピース
カーマイン・コア","► Clear stage with no one defeated
► Clear stage with a team of at most 2 members
► Clear stage within 120 seconds"
"4","3","Normal","1","21","48","161","69","ハンマー・ピース
カーマイン・コア","► Clear stage with no one defeated
► Clear stage with a team of at most 2 members
► Clear stage within 120 seconds"
"4","3","Hard","2","80","69","322","115","ハンマー・ピース
カーマイン・コア","► Clear stage with no one defeated
► Clear stage with at least 50 combo
► Clear stage within 120 seconds"
"4","5","Easy","0","3","24","66","93","ガン・ピース
黄の花","► Clear stage with no one defeated
► Clear stage with a team of at most 2 members
► Clear stage within 120 seconds"
"4","5","Normal","1","23","63","93","124","ガン・ピース
黄の花","► Clear stage with no one defeated
► Clear stage with a team of at most 2 members
► Clear stage within 120 seconds"
"4","5","Hard","2","82","63","186","248","ガン・ピース
黄の花","► Clear stage with no one defeated
► Clear stage with at least 50 combo
► Clear stage within 120 seconds"
"4","6","Easy","0","8","28","75","74","スピア・ピース
ロッド・ピース","► Clear stage with no one defeated
► Clear stage with a team of at most 2 members
► Clear stage within 120 seconds"
"4","6","Normal","1","25","39","111","111","スピア・ピース
ロッド・ピース","► Clear stage with no one defeated
► Clear stage with a team of at most 2 members
► Clear stage within 120 seconds"
"4","6","Hard","2","85","75","222","222","スピア・ピース
ロッド・ピース","► Clear stage with no one defeated
► Clear stage with at least 50 combo
► Clear stage with a team of at most 2 members"
"5","2","Easy","0","3","28","56","112","ソード・ピース
ハンマー・ピース","► Clear stage with no one defeated
► Clear stage with at least 20 combo
► Clear stage without getting any ailments"
"5","2","Normal","1","22","57","84","140","ソード・ピース
ハンマー・ピース","► Clear stage with no one defeated
► Clear stage with at least 50 combo
► Clear stage within 120 seconds"
"5","2","Hard","2","79","57","140","308","ソード・ピース
ハンマー・ピース","► Clear stage with no one defeated
► Clear stage with at least 50 combo
► Clear stage within 120 seconds"
"5","3","Easy","0","3","32","46","128","ガン・ピース
碧の涙
ブロンズ・メタル","► Clear stage with no one defeated
► Clear stage with at least 20 combo
► Clear stage without getting any ailments"
"5","3","Normal","1","24","66","64","160","ガン・ピース
碧の涙
ブロンズ・メタル","► Clear stage with no one defeated
► Clear stage within 120 seconds
► Clear stage within 60 seconds"
"5","3","Hard","2","81","66","128","352","ガン・ピース
碧の涙
ブロンズ・メタル","► Clear stage with no one defeated
► Clear stage with at least 50 combo
► Clear stage without getting any ailments"
"5","5","Easy","0","4","30","116","58","ロッド・ピース
カーマイン・コア","► Clear stage with no one defeated
► Clear stage with at least 50 combo
► Clear stage without getting any ailments"
"5","5","Normal","1","26","60","145","87","ロッド・ピース
カーマイン・コア","► Clear stage with no one defeated
► Clear stage with at least 50 combo
► Clear stage within 120 seconds"
"5","5","Hard","2","84","60","290","174","ロッド・ピース
カーマイン・コア","► Clear stage with no one defeated
► Clear stage with at least 50 combo
► Clear stage within 120 seconds"
"5","6","Easy","0","4","32","124","62","ガン・ピース
ソード・ピース
ブロンズ・メタル","► Clear stage with no one defeated
► Clear stage with at least 50 combo
► Clear stage without getting any ailments"
"5","6","Normal","1","29","63","155","93","ガン・ピース
ソード・ピース
ブロンズ・メタル","► Clear stage with no one defeated
► Clear stage with at least 50 combo
► Clear stage without getting any ailments"
"5","6","Hard","2","86","63","279","186","ガン・ピース
ソード・ピース
ブロンズ・メタル","► Clear stage with no one defeated
► Clear stage with at least 50 combo
► Clear stage without getting any ailments"
"6","2","Easy","0","4","26","75","72","碧の涙
ガン・ピース
ブロンズ・メタル","► Clear stage with no one defeated
► Clear stage with at least 20 combo
► Clear stage within 120 seconds"
"6","2","Normal","1","31","36","108","144","碧の涙
ガン・ピース
ブロンズ・メタル","► Clear stage with no one defeated
► Clear stage with at least 50 combo
► Clear stage within 120 seconds"
"6","2","Hard","2","89","72","216","252","碧の涙
ガン・ピース
ブロンズ・メタル","► Clear stage with no one defeated
► Clear stage with at least 50 combo
► Clear stage within 120 seconds"
"6","3","Easy","0","4","26","48","116","カーマイン・コア
ロッド・ピース","► Clear stage with no one defeated
► Clear stage with at least 20 combo
► Clear stage within 120 seconds"
"6","3","Normal","1","33","60","58","174","カーマイン・コア
ロッド・ピース","► Clear stage with no one defeated
► Clear stage with at least 50 combo
► Clear stage with a team of at most 2 members"
"6","3","Hard","2","91","60","145","319","カーマイン・コア
ロッド・ピース","► Clear stage with no one defeated
► Clear stage with at least 50 combo
► Clear stage with a team of at most 2 members"
"6","5","Easy","0","4","26","78","78","ロッド・ピース
スピア・ピース","► Clear stage with no one defeated
► Clear stage with at least 20 combo
► Clear stage with a team of at most 2 members"
"6","5","Normal","1","35","39","117","117","ロッド・ピース
スピア・ピース","► Clear stage with no one defeated
► Clear stage with at least 50 combo
► Clear stage with a team of at most 2 members"
"6","5","Hard","2","94","78","195","273","ロッド・ピース
スピア・ピース","► Clear stage with no one defeated
► Clear stage with at least 50 combo
► Clear stage with a team of at most 2 members"
"6","6","Easy","0","5","30","72","87","ガン・ピース
黄の花","► Clear stage with no one defeated
► Clear stage with at least 20 combo
► Clear stage without getting any ailments"
"6","6","Normal","1","37","60","87","145","ガン・ピース
黄の花","► Clear stage with no one defeated
► Clear stage with at least 50 combo
► Clear stage without getting any ailments"
"6","6","Hard","2","97","60","203","261","ガン・ピース
黄の花","► Clear stage with no one defeated
► Clear stage with at least 50 combo
► Clear stage without getting any ailments"
"7","2","Easy","0","5","28","56","112","ハンマー・ピース
カーマイン・コア
ブロンズ・メタル","► Clear stage with no one defeated
► Clear stage with a team of at most 2 members
► Clear stage within 120 seconds"
