stage_name,part,episode,stage_number,easy_level,easy_exp,easy_coins,easy_cheerpoint,easy_objectives,normal_level,normal_exp,normal_coins,normal_cheerpoint,normal_objectives,hard_level,hard_exp,hard_coins,hard_cheerpoint,hard_objectives,small_irousu,large_irousu,drops
Recapture Lesson 1-2: 1st period,1,1,2,1,9,7,18,"- Clear stage without anyone being defeated
- Clear stage within 120 seconds
- Clear stage within 90 seconds",1,15,13,26,"- Clear stage without anyone being defeated
- Clear stage within 120 seconds
- Clear stage within 60 seconds",51,15,39,65,"- Clear stage without anyone being defeated
- Clear stage without getting status ailments
- Clear stage within 120 seconds","1,2",,"碧の涙
ソード・ピース"
Recapture Lesson 1-3: 2nd period,1,1,3,1,6,21,9,"- Clear stage without anyone being defeated
- Clear stage within 120 seconds
- Clear stage within 90 seconds",1,9,36,18,"- Clear stage without anyone being defeated
- Clear stage within 120 seconds
- Clear stage within 60 seconds",53,18,72,36,"- Clear stage without anyone being defeated
- Clear stage without getting status ailments
- Clear stage within 120 seconds","1,2",,"黄の花
ハンマー・ピース"
Recapture Lesson 1-5: 3rd period,1,1,5,1,9,22,24,"- Clear stage without anyone being defeated
- Clear stage within 120 seconds
- Clear stage within 90 seconds",1,15,30,30,"- Clear stage without anyone being defeated
- Clear stage within 120 seconds
- Clear stage within 60 seconds",55,15,60,75,"- Clear stage without anyone being defeated
- Clear stage without getting status ailments
- Clear stage within 120 seconds","1,2,5",,"スピア・ピース
ハンマー・ピース
黄の花"
Recapture Lesson 1-6: 4th period,1,1,6,1,9,26,32,"- Clear stage without anyone being defeated
- Clear stage within 120 seconds
- Clear stage within 90 seconds",2,18,32,48,"- Clear stage without anyone being defeated
- Clear stage within 120 seconds
- Clear stage within 60 seconds",58,33,80,80,"- Clear stage without anyone being defeated
- Clear stage without getting status ailments
- Clear stage within 120 seconds","1,2,5",,"ロッド・ピース
ソード・ピース"
Recapture Lesson 2-2: 1st period,1,2,2,1,12,51,24,"- Clear stage without anyone being defeated
- Clear stage within 120 seconds
- Clear stage within 90 seconds",4,18,68,34,"- Clear stage without anyone being defeated
- Clear stage within 120 seconds
- Clear stage within 60 seconds",60,36,119,68,"- Clear stage without anyone being defeated
- Clear stage without getting status ailments
- Clear stage within 120 seconds","1,5",,"黄の花
カーマイン・コア
スピア・ピース"
Recapture Lesson 2-3: 2nd period,1,2,3,2,15,39,39,"- Clear stage without anyone being defeated
- Clear stage within 120 seconds
- Clear stage within 90 seconds",6,36,51,68,"- Clear stage without anyone being defeated
- Clear stage within 120 seconds
- Clear stage within 60 seconds",62,36,102,136,"- Clear stage without anyone being defeated
- Clear stage without getting status ailments
- Clear stage within 120 seconds","1,5",,"碧の涙
ガン・ピース
ロッド・ピース"
Recapture Lesson 2-5: 3rd period,1,2,5,2,9,52,46,"- Clear stage without anyone being defeated
- Clear stage with everyone having full HP
- Clear stage within 60 seconds",8,12,74,66,"- Clear stage without anyone being defeated
- Clear stage with everyone having full HP
- Clear stage within 30 seconds",64,21,148,132,"- Clear stage without anyone being defeated
- Clear stage with two team members or fewer
- Clear stage within 120 seconds",,7,
Recapture Lesson 2-6: 4th period,1,2,6,2,18,36,60,"- Clear stage without anyone being defeated
- Clear stage within 120 seconds
- Clear stage within 90 seconds",10,39,57,95,"- Clear stage without anyone being defeated
- Clear stage within 120 seconds
- Clear stage within 60 seconds",67,48,114,209,"- Clear stage without anyone being defeated
- Clear stage with two team members or fewer
- Clear stage within 120 seconds","1,5",7,"ソード・ピース
スピア・ピース
ロッド・ピース"
Recapture Lesson 3-2: 1st period,1,3,2,2,21,95,38,"- Clear stage without anyone being defeated
- Achieve 20 combo
- Clear stage within 120 seconds",12,39,114,57,"- Clear stage without anyone being defeated
- Achieve 50 combo
- Clear stage within 120 seconds",69,48,228,133,"- Clear stage without anyone being defeated
- Achieve 50 combo
- Clear stage within 120 seconds","1,2,5,14",,"カーマイン・コア
ガン・ピース"
Recapture Lesson 3-3: 2nd period,1,3,3,2,24,45,92,"- Clear stage without anyone being defeated
- Achieve 20 combo
- Clear stage within 120 seconds",14,48,69,138,"- Clear stage without anyone being defeated
- Achieve 50 combo
- Clear stage within 120 seconds",71,69,161,253,"- Clear stage without anyone being defeated
- Achieve 50 combo
- Clear stage within 120 seconds","1,2,5,14",,"ハンマー・ピース
ソード・ピース"
